jahr,monat,anzahl
2015,1,88
2015,2,23
2015,3,55
2015,4,26
2015,5,36
2015,6,40
2015,7,41
2015,8,33
2015,9,161
2015,10,240
2015,11,178
2015,12,64
2016,1,19
2016,2,40
2016,3,60
2016,4,38
2016,5,81
2016,6,31
2016,7,85
2016,8,49
2016,9,94
2016,10,335
2016,11,138
2016,12,76
2017,1,47
2017,2,50
2017,3,34
2017,4,32
2017,5,27
2017,6,19
2017,7,105
2017,8,111
2017,9,587
2017,10,726
2017,11,119
2017,12,34
2018,1,34
2018,2,10
2018,3,27
2018,4,20
2018,5,12
2018,6,6
2018,7,11
2018,8,25
2018,9,107
2018,10,148
2018,11,140
2018,12,52
2019,1,23
2019,2,10
2019,3,36
2019,4,9
2019,5,38
2019,6,37
2019,7,16
2019,8,2267
2019,9,243
2019,10,775
2019,11,444
2019,12,208
2020,1,176
2020,2,138
2020,3,117
2020,4,57
2020,5,62
2020,6,126
2020,7,149
2020,8,123
2020,9,363
2020,10,1112
2020,11,548
2020,12,243
2021,1,148
2021,2,154
2021,3,124
2021,4,72
2021,5,81
2021,6,81
2021,7,196
2021,8,249
2021,9,1019
2021,10,428
2021,11,329
2021,12,232
2022,1,241
2022,2,235
2022,3,101
2022,4,128
2022,5,171
2022,6,100
2022,7,145
2022,8,322
2022,9,1591
2022,10,2542
2022,11,641
2022,12,302
2023,1,621
2023,2,504
2023,3,300
2023,4,344
2023,5,226
2023,6,203
2023,7,662
2023,8,1784
2023,9,1040
2023,10,3787
2023,11,1706
2023,12,306
2024,1,281
2024,2,408
2024,3,457
2024,4,280
2024,5,219
2024,6,255
2024,7,379
2024,8,595
2024,9,950
2024,10,3253
2024,11,1041
2024,12,793
2025,1,657
2025,2,543
2025,3,499
2025,4,360
2025,5,254
2025,6,299
2025,7,599
2025,8,882
2025,9,960
2025,10,3490
2025,11,1490
2025,12,536
2026,1,240
2026,2,449
2026,3,553
2026,4,412
2026,5,496
2026,6,694
2026,7,408
2026,8,231
2026,9,0
2026,10,0
2026,11,0
2026,12,0
