datum,meldungen
2019-01-01,3
2019-01-10,1
2019-01-11,1
2019-01-12,1
2019-01-18,1
2019-01-19,3
2019-01-27,1
2019-03-16,1
2019-03-18,1
2019-03-28,1
2019-04-07,1
2019-05-13,1
2019-05-26,3
2019-05-30,1
2019-07-19,1
2019-08-13,1
2019-08-20,1
2019-08-22,2
2019-08-23,3
2019-08-25,6
2019-08-26,1
2019-08-27,1
2019-08-28,1
2019-08-30,1
2019-08-31,1
2019-09-01,1
2019-09-05,1
2019-09-08,24
2019-09-10,1
2019-09-11,2
2019-09-15,1
2019-09-20,2
2019-09-21,2
2019-09-22,9
2019-09-24,2
2019-09-26,2
2019-09-28,1
2019-09-29,4
2019-10-03,12
2019-10-05,2
2019-10-06,1
2019-10-07,6
2019-10-08,3
2019-10-09,10
2019-10-10,5
2019-10-11,1
2019-10-12,6
2019-10-13,31
2019-10-14,9
2019-10-16,1
2019-10-17,3
2019-10-18,1
2019-10-19,26
2019-10-20,4
2019-10-21,1
2019-10-22,2
2019-10-23,3
2019-10-25,5
2019-10-26,9
2019-10-27,5
2019-10-28,1
2019-10-29,1
2019-10-31,1
2019-11-01,6
2019-11-03,5
2019-11-04,4
2019-11-07,1
2019-11-08,7
2019-11-10,1
2019-11-12,1
2019-11-13,1
2019-11-14,1
2019-11-15,2
2019-11-16,6
2019-11-17,2
2019-11-20,2
2019-11-21,1
2019-11-22,8
2019-11-23,8
2019-11-24,4
2019-11-25,7
2019-11-28,5
2019-11-30,5
2019-12-01,6
2019-12-03,1
2019-12-04,3
2019-12-06,5
2019-12-08,2
2019-12-12,4
2019-12-19,7
2019-12-20,5
2019-12-21,1
2019-12-23,4
2019-12-25,8
2019-12-26,7
2019-12-27,16
2019-12-28,15
2019-12-29,7
2019-12-30,4
2019-12-31,1
2020-01-01,4
2020-01-04,8
2020-01-05,8
2020-01-07,2
2020-01-10,1
2020-01-11,1
2020-01-12,5
2020-01-16,4
2020-01-18,4
2020-01-19,25
2020-01-20,1
2020-01-22,4
2020-01-25,2
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
