id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0001,52.05,10.1,3,0.609,0.701,9900,3:0.609;5:0.208;10:0.065;8:0.051;4:0.047
W0002,52.05,10.1591,3,0.41,0.846,20000,3:0.41;5:0.406;8:0.118;4:0.021
W0003,52.05,10.1886,5,0.53,0.929,20000,5:0.53;3:0.203;8:0.145;4:0.043;10:0.027
W0004,52.05,10.2182,3,0.749,0.905,20000,3:0.749;5:0.125;8:0.045;10:0.039;4:0.023
W0005,52.05,10.2477,3,0.702,0.003,20000,3:0.702;2:0.123;5:0.123
W0006,52.05,10.2772,5,0.304,0.092,20000,5:0.304;17:0.236;10:0.121;9:0.109;4:0.078;6:0.043
W0007,52.05,10.3363,5,0.419,0.209,20000,5:0.419;3:0.16;8:0.105;4:0.095;9:0.085;10:0.044
W0008,52.05,10.3658,5,0.576,0.076,12200,5:0.576;3:0.292;4:0.047;6:0.04
W0009,52.05,10.5135,5,0.459,0.072,20000,5:0.459;3:0.343;17:0.063;10:0.033;9:0.032;8:0.026
W0010,52.05,10.6317,5,0.852,0.006,14500,5:0.852;17:0.136
W0011,52.05,10.8089,17,0.808,0.001,20000,17:0.808;2:0.192
W0012,52.068,10.1,3,0.649,0.251,19800,3:0.649;5:0.178;10:0.08;8:0.06;4:0.021
W0013,52.068,10.1295,3,0.61,0.284,40000,3:0.61;5:0.289;4:0.042;10:0.029;8:0.021
W0014,52.068,10.1591,5,0.573,0.227,40000,5:0.573;3:0.333;10:0.037
W0015,52.068,10.1886,3,0.604,0.186,40000,3:0.604;5:0.275;4:0.045;17:0.039
W0016,52.068,10.2182,3,0.816,0.61,40000,3:0.816;5:0.14
W0017,52.068,10.3363,3,0.43,0.388,40000,3:0.43;5:0.275;4:0.069;8:0.066;2:0.046;10:0.042
W0018,52.068,10.3658,3,0.308,0.474,24400,3:0.308;5:0.245;8:0.169;4:0.15;10:0.066;6:0.022
W0019,52.068,10.3954,3,0.41,0.224,40000,3:0.41;5:0.409;6:0.05;17:0.039;4:0.028;8:0.021
W0020,52.068,10.4249,5,0.765,0.14,40000,5:0.765;3:0.179;17:0.034
W0021,52.068,10.5135,3,0.467,0.698,40000,3:0.467;5:0.368;4:0.053;8:0.042;10:0.036
W0022,52.068,10.5431,3,0.538,0.224,40000,3:0.538;5:0.178;17:0.085;4:0.058;10:0.041;6:0.037
W0023,52.086,10.1,3,0.605,0.368,19800,3:0.605;5:0.296;8:0.034;10:0.022
W0024,52.086,10.1295,3,0.495,0.46,40000,3:0.495;5:0.339;8:0.084;4:0.029;10:0.028
W0025,52.086,10.1886,3,0.779,0.026,40000,3:0.779;5:0.18;17:0.027
W0026,52.086,10.2182,3,0.902,0.068,40000,3:0.902;5:0.042
W0027,52.086,10.3363,3,0.737,0.697,40000,3:0.737;5:0.176;8:0.033
W0028,52.086,10.3658,3,0.498,0.739,24400,3:0.498;5:0.291;8:0.101;4:0.046;10:0.023
W0029,52.086,10.3954,5,0.484,0.161,40000,5:0.484;3:0.246;6:0.083;4:0.061;8:0.047;17:0.033
W0030,52.086,10.5135,3,0.513,0.793,40000,3:0.513;5:0.273;10:0.085;4:0.038;8:0.036;9:0.028
W0031,52.086,10.5431,3,0.445,0.326,40000,3:0.445;5:0.201;9:0.111;10:0.084;17:0.058;4:0.034
W0032,52.086,10.5726,4,0.234,0.051,40000,4:0.234;9:0.222;8:0.187;17:0.152;5:0.132;2:0.041
W0033,52.086,11.1338,17,0.86,0.001,40000,17:0.86;10:0.14
W0034,52.1041,10.1295,5,0.433,0.135,40000,5:0.433;3:0.294;4:0.072;17:0.042;8:0.041;2:0.037
W0035,52.1041,10.1591,3,0.479,0.207,40000,3:0.479;5:0.349;9:0.035;4:0.033;10:0.03;17:0.024
W0036,52.1041,10.2182,3,0.512,0.233,40000,3:0.512;5:0.307;8:0.089;10:0.028;4:0.02
W0037,52.1041,10.2477,3,0.595,0.513,40000,3:0.595;5:0.297;10:0.03;4:0.029
W0038,52.1041,10.2772,3,0.72,0.365,40000,3:0.72;5:0.147;4:0.047;6:0.023;8:0.022
W0039,52.1041,10.3068,3,0.588,0.402,40000,3:0.588;5:0.197;4:0.054;10:0.036;8:0.035;6:0.034
W0040,52.1041,10.3363,3,0.513,0.662,40000,3:0.513;5:0.3;4:0.059;6:0.054;8:0.025
W0041,52.1041,10.3658,5,0.442,0.261,24400,5:0.442;3:0.342;10:0.097;8:0.039;4:0.037
W0042,52.1041,10.484,3,0.511,0.327,40000,3:0.511;5:0.308;10:0.059;8:0.048;4:0.026;17:0.024
W0043,52.1041,10.5135,3,0.635,0.988,40000,3:0.635;5:0.229;10:0.046;8:0.042;4:0.023
W0044,52.1041,10.5431,3,0.523,0.28,40000,3:0.523;5:0.363;10:0.066;17:0.02
W0045,52.1221,10.1,3,0.854,0.457,19800,3:0.854;5:0.139
W0046,52.1221,10.1295,3,0.685,0.868,40000,3:0.685;5:0.271
W0047,52.1221,10.1591,3,0.679,0.791,40000,3:0.679;5:0.267
W0048,52.1221,10.1886,3,0.568,0.055,40000,3:0.568;5:0.279;17:0.106;6:0.027
W0049,52.1221,10.2182,3,0.607,0.221,40000,3:0.607;5:0.193;8:0.128;4:0.026
W0050,52.1221,10.2477,3,0.777,0.611,40000,3:0.777;5:0.165;4:0.021
W0051,52.1221,10.2772,3,0.783,0.67,40000,3:0.783;5:0.16
W0052,52.1221,10.3068,3,0.597,0.528,40000,3:0.597;5:0.319;4:0.028
W0053,52.1221,10.3363,3,0.658,0.321,40000,3:0.658;5:0.287;4:0.022;10:0.021
W0054,52.1221,10.3954,17,0.49,0.071,40000,17:0.49;5:0.301;3:0.151;16:0.028;6:0.024
W0055,52.1221,10.484,3,0.47,0.666,40000,3:0.47;5:0.328;8:0.086;10:0.059;4:0.024
W0056,52.1221,10.5135,3,0.639,0.997,40000,3:0.639;5:0.259;8:0.042;10:0.041
W0057,52.1221,10.5431,5,0.444,0.115,40000,5:0.444;3:0.431;10:0.072;17:0.021
W0058,52.1221,10.5726,17,0.524,0.017,40000,17:0.524;5:0.27;10:0.093;16:0.045;6:0.033
W0059,52.1221,10.6612,5,0.527,0.084,40000,5:0.527;3:0.451
W0060,52.1221,10.6908,5,0.497,0.159,40000,5:0.497;3:0.433;10:0.037
W0061,52.1221,10.9861,17,0.438,0.017,40000,17:0.438;5:0.348;16:0.095;9:0.086;6:0.02
W0062,52.1221,11.0157,17,0.648,0.126,40000,17:0.648;5:0.259;2:0.067
W0063,52.1221,11.0452,17,0.779,0.167,40000,17:0.779;5:0.109;2:0.086
W0064,52.1401,10.1,3,0.599,0.67,19800,3:0.599;5:0.337
W0065,52.1401,10.1295,3,0.617,0.566,40000,3:0.617;5:0.327
W0066,52.1401,10.1591,3,0.714,0.655,40000,3:0.714;5:0.23
W0067,52.1401,10.1886,3,0.535,0.533,40000,3:0.535;5:0.372;10:0.03;8:0.025;4:0.024
W0068,52.1401,10.2182,5,0.495,0.222,40000,5:0.495;3:0.401;10:0.048
W0069,52.1401,10.3658,17,0.597,0.008,24400,17:0.597;5:0.254;16:0.055;2:0.045
