id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0001,52.05,10.1,5.83,20.2,19.23,30.43,50.33,39.1,2.94
W0002,52.05,10.1591,5.37,19.73,20.2,35.6,44.17,45.9,3.62
W0003,52.05,10.1886,5.37,20.33,23.17,35.2,41.7,45.73,3.42
W0004,52.05,10.2182,5.6,19.77,16.27,37.77,45.97,51.8,4.14
W0005,52.05,10.2477,6.97,23.2,18.0,34.37,47.63,31.9,3.31
W0006,52.05,10.2772,5.87,23.43,21.73,30.23,48.03,34.5,3.3
W0007,52.05,10.3363,5.53,21.17,25.33,35.4,39.27,38.0,3.45
W0009,52.05,10.5135,6.33,24.03,30.17,24.7,45.17,36.9,4.58
W0010,52.05,10.6317,6.87,23.07,31.4,32.1,36.47,37.87,4.36
W0011,52.05,10.8089,6.87,22.9,47.83,23.5,28.67,38.17,3.96
W0012,52.068,10.1,6.7,20.13,18.77,32.6,48.63,31.2,2.6
W0013,52.068,10.1295,7.1,21.03,14.03,26.8,59.17,30.07,3.05
W0014,52.068,10.1591,6.8,21.0,19.53,29.8,50.67,28.8,2.86
W0015,52.068,10.1886,7.03,20.1,14.57,27.4,58.03,30.6,2.89
W0016,52.068,10.2182,5.4,19.5,17.27,32.73,50.0,43.13,3.54
W0017,52.068,10.3363,6.67,21.23,22.4,34.0,43.63,33.5,3.67
W0018,52.068,10.3658,5.33,19.97,23.5,30.6,45.87,44.4,3.63
W0019,52.068,10.3954,6.83,20.13,21.43,32.17,46.37,33.4,3.06
W0020,52.068,10.4249,5.53,22.47,23.5,30.67,45.83,51.17,3.89
W0021,52.068,10.5135,5.33,23.07,26.93,32.2,40.87,44.57,3.61
W0022,52.068,10.5431,6.87,22.03,23.53,29.0,47.47,31.43,3.54
W0023,52.086,10.1,5.53,21.97,19.43,30.5,50.03,44.57,3.06
W0024,52.086,10.1295,5.5,21.73,17.97,30.73,51.3,38.53,3.2
W0025,52.086,10.1886,6.93,21.4,21.67,30.5,47.8,31.77,2.78
W0026,52.086,10.2182,6.9,21.73,22.47,25.93,51.63,33.97,3.17
W0027,52.086,10.3363,6.43,20.63,20.8,32.77,46.43,34.27,3.39
W0028,52.086,10.3658,5.27,20.57,28.1,31.53,40.33,40.27,3.42
W0029,52.086,10.3954,6.8,22.97,23.77,27.9,48.33,27.47,3.58
W0030,52.086,10.5135,5.33,22.87,26.13,29.17,44.7,48.87,3.62
W0031,52.086,10.5431,6.73,23.4,30.47,25.87,43.6,43.13,4.52
W0032,52.086,10.5726,7.0,24.2,28.13,35.6,36.27,33.03,4.6
W0033,52.086,11.1338,6.93,22.9,20.9,25.77,53.33,39.13,4.52
W0034,52.1041,10.1295,5.7,21.77,18.1,24.5,57.4,34.33,3.29
W0035,52.1041,10.1591,5.73,20.8,14.5,26.07,59.47,33.83,3.07
W0036,52.1041,10.2182,7.07,20.13,17.47,32.43,50.07,27.17,2.81
W0037,52.1041,10.2477,5.8,20.07,23.53,31.67,44.8,30.3,3.02
W0038,52.1041,10.2772,5.5,22.17,19.9,35.77,44.37,55.83,3.6
W0039,52.1041,10.3068,6.7,21.13,19.9,34.4,45.7,35.47,3.86
W0040,52.1041,10.3363,5.4,20.83,20.27,31.63,48.1,49.5,3.96
W0042,52.1041,10.484,6.93,21.9,28.0,28.57,43.4,34.5,3.81
W0043,52.1041,10.5135,5.37,21.73,23.73,32.6,43.63,45.0,3.36
W0044,52.1041,10.5431,6.7,22.83,27.77,27.8,44.43,41.63,3.99
W0045,52.1221,10.1,5.53,19.97,18.53,32.1,49.33,39.67,3.43
W0046,52.1221,10.1295,5.1,20.67,18.3,31.23,50.47,45.8,3.49
W0047,52.1221,10.1591,5.3,20.63,19.03,28.6,52.37,41.87,3.37
W0048,52.1221,10.1886,6.87,20.3,17.1,28.57,54.33,33.47,3.26
W0049,52.1221,10.2182,6.8,22.63,15.37,26.1,58.53,36.77,4.07
W0050,52.1221,10.2477,5.6,21.13,17.6,26.67,55.77,34.3,2.85
W0051,52.1221,10.2772,5.3,21.17,20.4,29.63,49.97,43.87,3.32
W0052,52.1221,10.3068,5.53,20.57,14.73,26.6,58.67,37.87,3.08
W0053,52.1221,10.3363,6.8,23.13,20.17,30.27,49.63,31.87,3.37
W0055,52.1221,10.484,5.57,21.37,23.57,28.0,48.43,45.97,3.68
