id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F52.99_10.302,52.99,10.302,5.45,23.35,68.3,11.85,19.85,53.25,3.62
F51.818_10.225,51.818,10.225,5.1,26.9,17.1,27.4,55.5,103.05,4.8
F51.77_10.557,51.77,10.557,4.7,31.3,27.6,23.2,49.2,115.8,6.03
F51.819_10.225,51.819,10.225,4.95,26.65,16.5,29.7,53.75,106.75,4.45
F52.25_10.675,52.25,10.675,5.85,24.1,37.0,23.4,39.6,46.9,4.49
F51.855_10.574,51.855,10.574,5.05,29.9,20.2,26.5,53.25,88.7,4.76
F51.584_10.328,51.584,10.328,5.3,23.5,32.5,20.6,46.85,61.15,3.47
F52.058_9.445,52.058,9.445,5.3,21.8,18.25,26.0,55.75,55.3,4.2
F53.147_9.902,53.147,9.902,5.85,21.05,48.35,12.55,39.15,51.3,4.17
F52.139_10.645,52.139,10.645,5.35,24.0,27.15,24.7,48.1,61.45,3.83
F52.344_10.716,52.344,10.716,5.0,24.4,52.15,16.25,31.55,61.5,4.24
F53.257_10.274,53.257,10.274,5.15,22.45,66.2,8.3,25.55,75.0,3.67
F52.138_10.649,52.138,10.649,5.2,23.3,23.6,26.65,49.7,57.0,3.9
F53.234_10.38,53.234,10.38,5.75,26.05,60.4,14.1,25.5,61.1,4.59
F53.269_10.192,53.269,10.192,5.45,21.65,63.45,13.0,23.55,59.3,4.45
F53.496_10.236,53.496,10.236,5.05,20.05,68.25,9.15,22.55,69.15,4.76
F53.105_9.925,53.105,9.925,5.75,25.05,72.8,7.05,20.15,54.65,3.74
F51.82_9.56,51.82,9.56,4.65,31.05,17.75,28.85,53.35,96.25,4.89
F52.216_11.83,52.216,11.83,6.55,25.65,68.75,12.55,18.7,57.4,5.93
F52.217_11.83,52.217,11.83,6.4,25.65,67.3,13.4,19.3,64.2,6.06
F52.218_11.83,52.218,11.83,6.4,25.65,67.3,13.4,19.3,64.2,6.06
F52.217_11.831,52.217,11.831,6.4,25.65,67.3,13.4,19.3,64.2,6.06
F52.395_9.173,52.395,9.173,5.15,24.65,37.15,17.95,44.9,59.85,4.0
F52.396_9.173,52.396,9.173,5.15,24.65,37.15,17.95,44.9,59.85,4.0
F53.023_9.12,53.023,9.12,5.1,22.15,63.9,10.55,25.6,58.85,3.84
F53.258_9.563,53.258,9.563,5.15,23.8,65.55,10.0,24.45,69.75,3.56
F51.712_9.696,51.712,9.696,4.6,26.45,18.75,28.3,52.95,103.7,4.85
F52.461_10.948,52.461,10.948,6.1,28.35,64.6,11.25,24.15,84.8,6.83
F53.237_9.824,53.237,9.824,5.65,27.3,66.95,10.8,22.2,51.05,3.9
F51.906_9.83,51.906,9.83,4.85,26.2,17.4,23.35,59.25,69.2,4.27
F51.558_10.093,51.558,10.093,5.75,23.35,17.5,15.0,67.5,48.0,3.6
F52.133_9.347,52.133,9.347,5.4,22.75,18.8,23.9,57.25,53.65,4.96
F52.13_9.374,52.13,9.374,5.3,21.35,17.85,31.65,50.5,61.1,4.36
F53.137_9.904,53.137,9.904,5.75,21.75,73.05,8.05,18.9,62.9,3.65
F52.503_11.441,52.503,11.441,4.7,24.0,71.35,11.05,17.6,55.55,3.66
F53.16_11.347,53.16,11.347,5.4,24.8,78.4,7.8,13.85,59.4,4.6
F52.494_10.737,52.494,10.737,4.9,24.0,61.35,11.65,27.0,50.95,4.47
F52.129_9.36,52.129,9.36,5.4,23.6,15.8,28.9,55.3,62.45,4.42
F52.902_9.55,52.902,9.55,5.3,23.9,63.0,11.75,25.25,68.85,4.27
F53.075_11.018,53.075,11.018,5.05,21.85,59.95,10.85,29.2,58.5,3.71
F53.199_10.266,53.199,10.266,5.05,21.7,67.75,9.95,22.3,61.55,3.39
F53.181_9.87,53.181,9.87,5.1,22.3,55.4,14.25,30.4,74.2,4.05
F53.087_11.246,53.087,11.246,4.95,24.4,75.25,7.9,16.9,73.25,4.26
F51.809_10.267,51.809,10.267,4.4,30.4,23.85,24.65,51.55,133.7,5.85
F53.156_9.819,53.156,9.819,5.55,24.85,69.7,11.45,18.85,63.45,3.8
F52.117_9.593,52.117,9.593,5.3,25.8,17.05,26.45,56.45,62.05,4.25
F51.771_9.689,51.771,9.689,5.8,23.5,22.4,25.7,51.9,50.85,4.25
F53.273_10.273,53.273,10.273,4.95,22.5,54.55,14.65,30.8,55.25,3.91
F53.163_9.982,53.163,9.982,5.4,22.5,48.0,14.55,37.4,76.35,4.42
F53.27_9.85,53.27,9.85,5.05,22.65,51.0,14.3,34.7,62.15,3.61
F52.175_9.445,52.175,9.445,5.25,21.9,18.65,25.7,55.65,57.25,4.33
F53.156_9.826,53.156,9.826,5.7,24.7,71.45,10.45,18.15,66.15,4.25
F53.181_9.869,53.181,9.869,5.1,23.15,66.8,10.15,23.05,77.4,3.92
F53.15_9.823,53.15,9.823,5.85,24.1,75.75,7.8,16.45,72.1,4.39
F52.221_10.587,52.221,10.587,5.4,27.45,34.75,21.2,44.1,61.95,5.56
F53.135_9.777,53.135,9.777,5.3,22.5,49.5,13.25,37.25,74.85,3.25
F51.98_10.432,51.98,10.432,5.6,22.9,18.85,37.0,44.05,61.6,4.49
F52.126_9.412,52.126,9.412,5.35,22.85,18.65,27.0,54.35,62.05,3.95
F52.164_9.386,52.164,9.386,4.95,26.05,13.9,22.05,64.1,75.0,4.71
F51.619_10.265,51.619,10.265,5.25,24.05,34.95,20.7,44.35,55.95,3.51
F53.21_10.42,53.21,10.42,5.35,21.85,60.5,12.1,27.45,54.9,4.25
F53.354_9.923,53.354,9.923,5.3,21.2,66.9,10.1,23.0,73.25,4.77
F53.353_10.434,53.353,10.434,5.7,24.95,51.75,18.45,29.8,67.7,5.37
F53.407_9.541,53.407,9.541,5.8,22.3,67.95,10.15,21.9,68.25,4.28
