art,gbif_id,datum,lat,lon,unsicherheit_m,ort
steinpilz,6411160693,2026-06-18,52.98983,10.30229,13.0,LSG Ellerndorfer Wacholderheide
steinpilz,6448666906,2026-07-15,53.03928,9.91211,3.0,HK Soltau
steinpilz,6449043449,2026-07-17,52.25135,9.59629,25.0,H Wennigsen (Deister)
steinpilz,6480620791,2026-07-28,53.22122,9.24349,8.0,
steinpilz,6485814925,2026-07-31,51.99866,9.67818,59.0,Duinger Wald mit Doberg und Weenzer Bruch - N2000
steinpilz,6480561735,2026-08-02,52.97801,10.24937,9.0,
steinpilz,5282724682,2025-07-31,51.81835,10.22456,4.0,GÖ Bad Grund
steinpilz,5282837503,2025-07-28,51.77002,10.55702,4.0,Nationalpark Harz - N2000
steinpilz,5283053064,2025-07-31,51.81851,10.2246,11.0,GÖ Bad Grund
steinpilz,5283182646,2025-07-29,52.24958,10.67497,30.0,"LSG Feld- und Waldflur von Weddel, Klein Schöppenstedt, Dest"
steinpilz,6411761376,2025-07-26,51.85486,10.57394,,GS Bad Harzburg
steinpilz,5282005941,2025-08-02,51.58422,10.32791,,
steinpilz,5282746185,2025-08-02,52.05837,9.44543,15.0,HM Hameln-Pyrmont (Landkreis)
steinpilz,5282933186,2025-08-10,53.14684,9.90154,,LG VSG Lüneburger Heide
steinpilz,5282985832,2025-08-02,52.1395,10.64508,,Asse - N2000
steinpilz,5283098010,2025-08-03,52.34446,10.71625,13.0,LSG Beienroder Holz
steinpilz,5283277076,2025-08-02,53.25711,10.27352,5.0,LG LSG Lüneburger Heide
steinpilz,5283415902,2025-08-02,52.13789,10.6486,,Asse - N2000
steinpilz,5283549828,2025-08-01,53.23354,10.37957,3.0,Ilmenau mit Nebenbächen - N2000
steinpilz,5287895438,2025-08-14,53.26854,10.19199,30.0,Gewässersystem der Luhe und unteren Neetze - N2000
steinpilz,5288446694,2025-08-11,53.49646,10.23602,3.0,HH Hamburg (Kreisfreie Stadt)
steinpilz,5901417520,2025-08-15,53.10498,9.92544,8.0,LG VSG Lüneburger Heide
steinpilz,5902563210,2025-08-15,53.1048,9.92548,16.0,LG VSG Lüneburger Heide
steinpilz,5832130506,2025-09-25,51.82,9.56,,HOL Holzminden (Landkreis)
steinpilz,5832134375,2025-09-26,52.21624,11.83018,13.0,JL Jerichower Land (Landkreis)
steinpilz,5832146300,2025-09-24,52.21739,11.83004,14.0,JL Jerichower Land (Landkreis)
steinpilz,5832194573,2025-09-24,52.21743,11.83012,14.0,JL Jerichower Land (Landkreis)
steinpilz,5832195833,2025-09-24,52.21729,11.83012,14.0,JL Jerichower Land (Landkreis)
steinpilz,5832262760,2025-09-23,52.21766,11.83025,51.0,JL Jerichower Land (Landkreis)
steinpilz,5832274406,2025-09-26,52.21707,11.83066,59.0,JL Jerichower Land (Landkreis)
steinpilz,5832304983,2025-09-28,52.39547,9.17307,120.0,Schaumburger Wald - N2000
steinpilz,5832368447,2025-09-28,52.39577,9.17267,19.0,Schaumburger Wald - N2000
steinpilz,5832377453,2025-09-26,53.43568,9.62194,12.0,STD Stade (Landkreis)
steinpilz,5832399908,2025-09-24,52.21745,11.83003,8.0,JL Jerichower Land (Landkreis)
steinpilz,5837137335,2025-09-21,52.44976,9.14762,250.0,Klosterwald Loccum
steinpilz,5889473789,2025-09-12,53.02291,9.12019,4.0,
steinpilz,5901459201,2025-09-20,53.25758,9.56304,,ROW Rotenburg (Wümme) (Landkreis)
steinpilz,5840097392,2025-10-01,51.71237,9.69622,3.0,
steinpilz,5840624818,2025-10-05,52.46127,10.94822,5.0,Grabensystem Drömling - N2000
steinpilz,5840748615,2025-10-07,53.23716,9.82378,3.0,WL Harburg (Landkreis)
steinpilz,5840937592,2025-10-08,51.9064,9.82964,3.0,HOL Holzminden (Landkreis)
steinpilz,5843940704,2025-10-11,53.43577,9.90666,,
steinpilz,5844119197,2025-10-11,51.55781,10.09293,,
steinpilz,5844801923,2025-10-02,52.13311,9.34665,250.0,Hameln Wehlbach-Wald
steinpilz,5868071148,2025-10-09,52.13019,9.37361,,
steinpilz,5868844997,2025-10-22,53.13679,9.904,15.0,HK Bispingen
steinpilz,5888996361,2025-10-26,52.27304,10.58116,250.0,Riddagshausen Naturschutzgebiet
steinpilz,5889258017,2025-10-31,52.50272,11.44115,,
steinpilz,5890046576,2025-10-31,53.16027,11.34689,61.0,
steinpilz,5890086787,2025-10-31,53.15997,11.34651,31.0,
steinpilz,5890256298,2025-10-25,52.49361,10.73678,145.0,
steinpilz,5890400503,2025-10-29,52.12871,9.35976,,
steinpilz,5892261339,2025-10-22,52.90248,9.55038,250.0,Grundloses Moor und Grundloser See bei Walsrode
steinpilz,5901232179,2025-10-26,52.27282,10.57993,,Riddagshäuser Teiche - N2000
steinpilz,5901464643,2025-10-06,53.07519,11.01829,4.0,Drawehn - N2000
steinpilz,5901552317,2025-10-05,53.19906,10.26609,14.0,LG Lüneburg (Landkreis)
steinpilz,5901591652,2025-10-22,53.18084,9.86993,15.0,LG VSG Lüneburger Heide
steinpilz,5901720599,2025-10-05,53.08657,11.24567,5.0,BSR Niedersächsische Elbtalaue
steinpilz,5902144104,2025-10-19,51.80908,10.26672,4.0,GÖ Göttingen (Landkreis)
steinpilz,5902199843,2025-10-24,53.15629,9.81931,28.0,HK - Camp Reinsehlen
steinpilz,5902200100,2025-10-22,53.18088,9.86966,30.0,LG VSG Lüneburger Heide
steinpilz,5902489090,2025-10-19,52.11746,9.5927,,LSG Osterwald - Saupark
steinpilz,5902554879,2025-10-19,51.77088,9.68852,,Ilme - N2000
steinpilz,5902599857,2025-10-29,53.27339,10.27312,776.0,LG Reppenstedt
