art,gbif_id,datum,lat,lon,unsicherheit_m,ort,stufe
steinpilz,inat1968163,2015-09-20,52.26339,10.55477,88,Braunschweig,research
steinpilz,inat2008212,2015-09-27,52.2009,10.74974,308,Elm,research
steinpilz,inat4378034,2016-10-17,52.19742,10.7495,5,Elm  Kneitlingen  Niedersachsen  DE,research
steinpilz,inat31678897,2019-08-28,52.84955,10.54309,9,29559 Wrestedt  Deutschland,research
steinpilz,inat34609994,2019-10-19,52.19727,10.75017,17,38170 Kneitlingen  Deutschland,research
steinpilz,inat34610558,2019-10-19,52.19788,10.74853,15,38170 Kneitlingen  Deutschland,research
steinpilz,inat59996741,2020-09-17,52.6374,10.58077,20,29399 Wahrenholz  Deutschland,research
steinpilz,inat93649546,2021-09-04,52.71533,10.47261,19,29367 Steinhorst  Germany,research
steinpilz,inat99235106,2021-10-24,52.30892,10.47742,73,38112 Braunschweig  neben VW-Halle  9  38112 Braunschweig  D,research
steinpilz,inat101401352,2021-11-18,52.2832,10.47426,146,38116 Braunschweig  Deutschland,research
steinpilz,inat102996029,2021-12-13,52.2825,10.4731,257,38116 Braunschweig  Deutschland,research
steinpilz,inat137016134,2022-09-30,52.30756,10.55541,195,Wabe-Schunter-Beberbach  Braunschweig  Deutschland,research
steinpilz,inat137393998,2022-10-02,52.28226,10.46959,263,38116 Braunschweig  Deutschland,research
steinpilz,inat137397445,2022-10-03,52.28164,10.47286,65,38116 Braunschweig  Deutschland,research
steinpilz,inat137874236,2022-10-07,52.27243,10.59072,58,Wabe-Schunter-Beberbach  Braunschweig  Deutschland,research
steinpilz,inat138120676,2022-10-09,52.21475,10.36749,35,Vechelde,research
steinpilz,inat138179400,2022-10-09,52.27635,10.57773,9,Wabe-Schunter-Beberbach  Brunswick  Germany,research
steinpilz,inat138183093,2022-10-09,52.2226,10.58981,19,38302 Wolfenbüttel  Germany,research
steinpilz,inat138654087,2022-10-13,52.54598,10.23959,365,29358 Eicklingen  Deutschland,research
steinpilz,inat138758084,2022-10-14,52.34995,10.82836,,Barnstorf  Wolfsburg  Deutschland,research
steinpilz,inat138759272,2022-10-14,52.34799,10.82705,,Barnstorf  Wolfsburg  Deutschland,research
steinpilz,inat178154901,2023-08-13,52.30832,10.4772,12,Veltenhof-Rühme  Braunschweig  Deutschland,research
steinpilz,inat178386707,2023-08-14,52.28195,10.47405,205,38116 Braunschweig  Deutschland,research
steinpilz,inat178562937,2023-08-15,52.32174,10.42372,16,38112 Braunschweig  Deutschland,research
steinpilz,inat186852989,2023-10-09,52.61626,10.1216,10,29227 Celle  Deutschland,research
steinpilz,inat189511473,2023-10-29,52.45771,10.81873,,Vorsfelde  38448 Wolfsburg  Deutschland,research
steinpilz,inat189975573,2023-11-04,52.27318,10.59317,7,Wabe-Schunter-Beberbach  Braunschweig  Germany,research
steinpilz,inat191026954,2023-11-14,52.18935,10.74911,,38170 Kneitlingen  Germany,research
steinpilz,inat191680986,2023-11-21,52.29617,10.62801,38,Volkmarode  Braunschweig  Deutschland,research
steinpilz,inat191680987,2023-11-21,52.29616,10.628,4,Volkmarode  Braunschweig  Deutschland,research
steinpilz,inat246919735,2024-10-12,52.61807,10.24278,,29331 Lachendorf  Deutschland,research
steinpilz,inat322277154,2021-10-29,52.38417,10.71512,90,Hohnstedter Holz und Wilshop  Wolfsburg  Niedersachsen  DE,research
steinpilz,inat323055406,2025-10-25,52.49361,10.73678,145,Jembke  Niedersachsen  DE,research
steinpilz,inat323298292,2025-10-18,52.30817,10.47728,24,Braunschweig  Lower Saxony  DE,needs_id
sommersteinpilz,inat80383552,2021-05-26,52.07162,10.36064,8,Salzgitter-Bad Waldfriedhof  38259 Salzgitter  Deutschland,research
sommersteinpilz,inat138518955,2022-10-12,52.2629,10.62836,,38162 Cremlingen  Deutschland,needs_id
sommersteinpilz,inat182546694,2023-09-09,52.27233,10.58093,5,Wabe-Schunter-Beberbach  Braunschweig  Germany,research
sommersteinpilz,inat188656061,2023-10-23,52.42129,10.36986,497,38543 Hillerse  Deutschland,research
sommersteinpilz,inat303212064,2025-08-01,52.29598,10.62828,45,38 Braunschweig-Volkmarode  Deutschland,needs_id
sommersteinpilz,inat304308872,2025-08-06,52.26376,10.5819,23,38 Braunschweig-Wabe-Schunter-Beberbach  Deutschland,research
sommersteinpilz,inat304321152,2025-08-06,52.26381,10.58186,6,38 Braunschweig-Wabe-Schunter-Beberbach  Germany,research
sommersteinpilz,inat372676675,2026-06-17,52.26275,10.55672,13,Braunschweig  DE-NI  DE,research
marone,inat8185670,2017-09-30,52.19676,10.74943,5,Naturpark Elm-Lappwald  Kneitlingen  Niedersachsen  DE,research
marone,inat34609936,2019-10-19,52.19749,10.75074,18,38170 Kneitlingen  Deutschland,research
marone,inat61567831,2020-10-03,52.26342,10.5216,18,Kleine Burg  Braunschweig  Bassa Sassonia  DE,needs_id
marone,inat65216337,2020-11-19,52.28256,10.47478,7,38116 Braunschweig  Deutschland,research
marone,inat93649571,2021-09-04,52.7145,10.47268,14,29367 Steinhorst  Germany,research
marone,inat94587901,2021-09-12,52.27269,10.5911,10,Wabe-Schunter  Brunswick  Germany,research
marone,inat95543340,2021-09-20,52.30405,10.55814,,Wabe-Schunter  Braunschweig  Deutschland,research
marone,inat137329429,2022-10-02,52.44904,10.8115,207,Tiergartenbreite  38448 Wolfsburg  Deutschland,research
