art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
steinpilz,6411160693,2026-06-18,52.98983,10.30229,6,82.0,51.1,0.6,10,4,164.7,1.0,-42.9,15.0,15.5,0.177,14.5,0.155,,,,15,,
steinpilz,5282724682,2025-07-31,51.81835,10.22456,7,382.0,50.3,10.1,10,0,216.3,15.0,-11.9,16.8,15.6,0.366,15.7,0.351,,,,15,,
steinpilz,5282837503,2025-07-28,51.77002,10.55702,7,818.0,52.0,19.9,13,0,198.5,29.2,-10.6,14.4,13.9,0.385,13.7,0.372,,,,15,,
steinpilz,5283053064,2025-07-31,51.81851,10.2246,7,382.0,50.3,10.1,10,0,216.3,15.0,-11.9,16.8,15.6,0.366,15.7,0.351,,,,15,,
steinpilz,5283182646,2025-07-29,52.24958,10.67497,7,138.0,49.5,8.7,10,2,136.4,11.2,-111.4,18.3,18.4,0.256,18.2,0.19,,,,15,,
steinpilz,6411761376,2025-07-26,51.85486,10.57394,7,528.0,59.0,9.2,14,1,216.5,22.4,-7.2,16.2,16.2,0.373,16.0,0.361,,,,15,,
steinpilz,5282005941,2025-08-02,51.58422,10.32791,8,238.0,31.2,13.4,8,0,135.5,-7.6,-102.4,17.9,16.8,0.237,16.8,0.171,,,,15,,
steinpilz,5282746185,2025-08-02,52.05837,9.44543,8,149.0,23.8,18.0,9,1,134.9,-5.4,-109.8,17.8,16.6,0.3,16.7,0.227,,,,15,,
steinpilz,5282933186,2025-08-10,53.14684,9.90154,8,93.0,70.3,0.5,10,5,199.1,25.5,-23.6,16.5,17.8,0.16,17.1,0.18,,,,15,,
steinpilz,5282985832,2025-08-02,52.1395,10.64508,8,200.0,30.1,17.9,9,0,152.6,-2.1,-95.3,18.1,16.9,0.301,17.0,0.247,,,,15,,
steinpilz,5283098010,2025-08-03,52.34446,10.71625,8,109.0,35.0,21.6,11,1,164.0,12.0,-74.2,17.8,16.9,0.248,17.0,0.209,,,,15,,
steinpilz,5283277076,2025-08-02,53.25711,10.27352,8,70.0,64.4,25.0,11,1,199.5,46.8,-30.1,17.9,16.6,0.238,16.5,0.219,,,,15,,
steinpilz,5283415902,2025-08-02,52.13789,10.6486,8,200.0,30.1,17.9,9,0,152.6,-2.1,-95.3,18.1,16.9,0.301,17.0,0.247,,,,15,,
steinpilz,5283549828,2025-08-01,53.23354,10.37957,8,28.0,64.8,21.4,11,0,193.1,43.0,-41.9,18.2,16.9,0.237,17.0,0.221,,,,15,,
