ort,lat,lon,hoehe,datum,regen,temp,bt07,bf07,bt728,bf728,et0
W0001,52.05,10.1,206.0,2019-01-01,2.8,5.6,6.1,0.38,6.3,0.373,0.44
W0001,52.05,10.1,206.0,2019-01-02,0.5,1.8,3.2,0.378,4.8,0.373,1.03
W0001,52.05,10.1,206.0,2019-01-03,0.0,-1.1,1.0,0.367,2.8,0.369,0.33
W0001,52.05,10.1,206.0,2019-01-04,0.3,1.1,1.5,0.363,2.3,0.366,0.16
W0001,52.05,10.1,206.0,2019-01-05,6.9,6.0,4.7,0.395,4.0,0.371,0.13
W0001,52.05,10.1,206.0,2019-01-06,2.1,5.2,5.3,0.394,5.3,0.382,0.19
W0001,52.05,10.1,206.0,2019-01-07,2.1,4.6,4.9,0.388,5.2,0.381,0.24
W0001,52.05,10.1,206.0,2019-01-08,11.3,4.7,4.8,0.417,5.1,0.393,0.42
W0001,52.05,10.1,206.0,2019-01-09,3.8,1.4,2.8,0.403,4.1,0.403,0.69
W0001,52.05,10.1,206.0,2019-01-10,0.2,-0.4,1.7,0.387,3.0,0.393,0.28
W0001,52.05,10.1,206.0,2019-01-11,2.8,2.4,2.2,0.381,2.7,0.386,0.19
W0001,52.05,10.1,206.0,2019-01-12,4.5,4.8,4.3,0.39,4.1,0.383,0.23
W0001,52.05,10.1,206.0,2019-01-13,12.1,5.8,5.1,0.412,4.8,0.39,0.28
W0001,52.05,10.1,206.0,2019-01-14,5.1,2.2,3.7,0.407,4.7,0.404,0.61
W0001,52.05,10.1,206.0,2019-01-15,1.0,2.7,2.8,0.392,3.5,0.396,0.51
W0001,52.05,10.1,206.0,2019-01-16,0.2,4.8,4.5,0.387,4.5,0.39,0.52
W0001,52.05,10.1,206.0,2019-01-17,6.6,3.2,3.9,0.394,4.4,0.388,0.55
W0001,52.05,10.1,206.0,2019-01-18,1.2,-0.7,1.5,0.392,3.1,0.392,0.47
W0001,52.05,10.1,206.0,2019-01-19,0.0,-1.9,-0.0,0.38,1.8,0.387,0.42
W0001,52.05,10.1,206.0,2019-01-20,0.0,-4.9,-1.5,0.374,0.8,0.382,0.38
W0001,52.05,10.1,206.0,2019-01-21,0.0,-4.5,-2.5,0.37,0.3,0.378,0.48
W0001,52.05,10.1,206.0,2019-01-22,0.0,-3.7,-2.3,0.367,0.0,0.375,0.74
W0001,52.05,10.1,206.0,2019-01-23,0.0,-5.0,-2.3,0.365,-0.2,0.372,0.47
W0001,52.05,10.1,206.0,2019-01-24,0.0,-5.6,-1.7,0.363,-0.3,0.37,0.33
W0001,52.05,10.1,206.0,2019-01-25,1.0,-3.4,-1.9,0.364,-0.4,0.371,0.47
W0001,52.05,10.1,206.0,2019-01-26,15.4,3.1,-1.7,0.402,-0.5,0.382,0.23
W0001,52.05,10.1,206.0,2019-01-27,3.3,4.1,0.9,0.41,-0.4,0.402,0.45
W0001,52.05,10.1,206.0,2019-01-28,3.0,1.5,0.9,0.402,-0.1,0.401,0.32
W0001,52.05,10.1,206.0,2019-01-29,1.0,-0.2,0.6,0.392,0.1,0.397,0.41
W0001,52.05,10.1,206.0,2019-01-30,0.4,-1.0,0.1,0.382,0.3,0.39,0.51
W0001,52.05,10.1,206.0,2019-01-31,0.0,0.1,0.5,0.376,0.4,0.386,0.65
W0001,52.05,10.1,206.0,2019-02-01,0.6,-0.3,-0.3,0.373,0.5,0.382,0.52
W0001,52.05,10.1,206.0,2019-02-02,1.6,-0.6,0.1,0.371,0.6,0.379,0.19
W0001,52.05,10.1,206.0,2019-02-03,0.0,0.2,0.8,0.368,0.7,0.377,0.48
W0001,52.05,10.1,206.0,2019-02-04,0.0,0.4,1.0,0.365,1.1,0.375,0.81
W0001,52.05,10.1,206.0,2019-02-05,0.3,2.6,2.2,0.364,1.9,0.372,0.72
W0001,52.05,10.1,206.0,2019-02-06,0.0,2.3,2.2,0.363,2.3,0.369,0.96
