id,lat,lon,hoehe
W0001,52.05,10.1,206.0
W0002,52.05,10.1591,241.0
W0003,52.05,10.1886,143.0
W0004,52.05,10.2182,237.0
W0005,52.05,10.2477,142.0
W0006,52.05,10.2772,125.0
W0007,52.05,10.3363,169.0
W0008,52.05,10.3658,146.0
W0009,52.05,10.5135,99.0
W0010,52.05,10.6317,116.0
W0011,52.05,10.8089,85.0
W0012,52.068,10.1,166.0
W0013,52.068,10.1295,137.0
W0014,52.068,10.1591,144.0
W0015,52.068,10.1886,121.0
W0016,52.068,10.2182,206.0
W0017,52.068,10.3363,179.0
W0018,52.068,10.3658,219.0
W0019,52.068,10.3954,139.0
W0020,52.068,10.4249,131.0
W0021,52.068,10.5135,178.0
W0022,52.068,10.5431,138.0
W0023,52.086,10.1,206.0
W0024,52.086,10.1295,187.0
W0025,52.086,10.1886,131.0
W0026,52.086,10.2182,106.0
W0027,52.086,10.3363,201.0
W0028,52.086,10.3658,215.0
W0029,52.086,10.3954,109.0
W0030,52.086,10.5135,191.0
W0031,52.086,10.5431,106.0
W0032,52.086,10.5726,81.0
W0033,52.086,11.1338,130.0
W0034,52.1041,10.1295,114.0
W0035,52.1041,10.1591,98.0
W0036,52.1041,10.2182,130.0
W0037,52.1041,10.2477,149.0
W0038,52.1041,10.2772,234.0
W0039,52.1041,10.3068,159.0
W0040,52.1041,10.3363,218.0
W0041,52.1041,10.3658,122.0
W0042,52.1041,10.484,127.0
W0043,52.1041,10.5135,207.0
W0044,52.1041,10.5431,138.0
W0045,52.1221,10.1,142.0
W0046,52.1221,10.1295,162.0
W0047,52.1221,10.1591,155.0
W0048,52.1221,10.1886,101.0
W0049,52.1221,10.2182,98.0
W0050,52.1221,10.2477,123.0
W0051,52.1221,10.2772,188.0
W0052,52.1221,10.3068,165.0
W0053,52.1221,10.3363,129.0
W0054,52.1221,10.3954,91.0
W0055,52.1221,10.484,144.0
W0056,52.1221,10.5135,192.0
W0057,52.1221,10.5431,98.0
W0058,52.1221,10.5726,79.0
W0059,52.1221,10.6612,149.0
W0060,52.1221,10.6908,194.0
W0061,52.1221,10.9861,93.0
W0062,52.1221,11.0157,98.0
W0063,52.1221,11.0452,132.0
W0064,52.1401,10.1,169.0
W0065,52.1401,10.1295,127.0
W0066,52.1401,10.1591,198.0
W0067,52.1401,10.1886,143.0
W0068,52.1401,10.2182,119.0
W0069,52.1401,10.3658,101.0
W0070,52.1401,10.484,106.0
W0071,52.1401,10.5135,114.0
W0072,52.1401,10.5431,82.0
W0073,52.1401,10.5726,83.0
W0074,52.1401,10.6317,216.0
W0075,52.1401,10.6612,229.0
W0076,52.1401,10.6908,99.0
W0077,52.1401,10.7203,105.0
W0078,52.1401,10.868,169.0
W0079,52.1401,10.8975,219.0
W0080,52.1401,10.9271,258.0
W0081,52.1401,10.9566,176.0
W0082,52.1401,11.0452,111.0
W0083,52.1581,10.3658,97.0
W0084,52.1581,10.3954,92.0
W0085,52.1581,10.4249,94.0
W0086,52.1581,10.484,92.0
W0087,52.1581,10.5135,84.0
W0088,52.1581,10.5431,96.0
W0089,52.1581,10.6317,92.0
W0090,52.1581,10.8384,230.0
W0091,52.1581,10.868,267.0
W0092,52.1581,10.8975,299.0
W0093,52.1581,10.9271,266.0
W0094,52.1581,10.9566,130.0
W0095,52.1581,10.9861,135.0
W0096,52.1581,11.0157,151.0
W0097,52.1581,11.0452,116.0
W0098,52.1581,11.1043,207.0
W0099,52.1761,10.2182,152.0
W0100,52.1761,10.3658,97.0
W0101,52.1761,10.4249,88.0
W0102,52.1761,10.4545,113.0
W0103,52.1761,10.484,93.0
W0104,52.1761,10.5431,89.0
W0105,52.1761,10.7794,217.0
W0106,52.1761,10.8089,242.0
W0107,52.1761,10.8384,225.0
W0108,52.1761,10.868,233.0
W0109,52.1761,10.8975,214.0
W0110,52.1761,10.9271,151.0
W0111,52.1761,10.9566,121.0
W0112,52.1761,10.9861,93.0
W0113,52.1761,11.0157,123.0
W0114,52.1761,11.0452,148.0
W0115,52.1761,11.1043,215.0
W0116,52.1941,10.1,85.0
W0117,52.1941,10.3068,78.0
W0118,52.1941,10.3363,87.0
W0119,52.1941,10.5431,112.0
W0120,52.1941,10.6317,90.0
W0121,52.1941,10.6908,135.0
W0122,52.1941,10.7203,190.0
W0123,52.1941,10.7498,341.0
W0124,52.1941,10.7794,282.0
W0125,52.1941,10.8089,299.0
W0126,52.1941,10.8384,249.0
W0127,52.1941,10.868,168.0
W0128,52.1941,10.9271,130.0
W0129,52.1941,10.9566,133.0
W0130,52.1941,11.0452,141.0
W0131,52.1941,11.0747,206.0
W0132,52.1941,11.1043,174.0
W0133,52.2122,10.3363,93.0
W0134,52.2122,10.5431,93.0
W0135,52.2122,10.5726,110.0
W0136,52.2122,10.6021,82.0
W0137,52.2122,10.7203,276.0
W0138,52.2122,10.7498,248.0
W0139,52.2122,10.7794,323.0
W0140,52.2122,10.8089,301.0
W0141,52.2122,10.8384,233.0
W0142,52.2122,10.8975,151.0
W0143,52.2122,10.9271,120.0
W0144,52.2122,10.9566,147.0
W0145,52.2122,10.9861,130.0
W0146,52.2122,11.0157,80.0
W0147,52.2122,11.0452,178.0
W0148,52.2122,11.0747,188.0
W0149,52.2122,11.1043,134.0
W0150,52.2122,11.1338,117.0
W0151,52.2302,10.5431,93.0
W0152,52.2302,10.5726,110.0
W0153,52.2302,10.6021,79.0
W0154,52.2302,10.6317,111.0
W0155,52.2302,10.6612,128.0
W0156,52.2302,10.7203,200.0
W0157,52.2302,10.7498,267.0
W0158,52.2302,10.7794,297.0
W0159,52.2302,10.8089,230.0
W0160,52.2302,10.8384,181.0
W0161,52.2302,11.0157,134.0
W0162,52.2302,11.0452,188.0
W0163,52.2302,11.0747,175.0
W0164,52.2302,11.1043,113.0
W0165,52.2482,10.1591,88.0
W0166,52.2482,10.4545,102.0
W0167,52.2482,10.5135,74.0
W0168,52.2482,10.6317,89.0
W0169,52.2482,10.6612,122.0
W0170,52.2482,10.6908,130.0
W0171,52.2482,10.7498,200.0
W0172,52.2482,10.7794,202.0
W0173,52.2482,10.8089,143.0
W0174,52.2482,10.9566,104.0
W0175,52.2482,10.9861,127.0
W0176,52.2482,11.0157,175.0
W0177,52.2482,11.0452,177.0
W0178,52.2482,11.0747,161.0
W0179,52.2482,11.1043,108.0
W0180,52.2482,11.1338,127.0
W0181,52.2662,10.1886,80.0
W0182,52.2662,10.2477,82.0
W0183,52.2662,10.2772,98.0
W0184,52.2662,10.3068,77.0
