id,titel,wald,ort,abstand_km
W0013,Wald bei Herrenmühle,,Herrenmühle,0.8
W0014,Wald bei Wohldenberg,,Wohldenberg,0.8
W0015,Wald bei Sillium,,Sillium,1.2
W0016,Wald bei Baddeckenstedt,,Baddeckenstedt,2.0
W0005,Wald bei Heere,,Heere,1.7
W1046,Wald bei Nauenburg,,Nauenburg,0.8
W1047,Wald bei Ziegelei,,Ziegelei,0.8
W0017,Wald bei Steinlah,,Steinlah,1.1
W0018,Wald bei Bismarckturm,,Bismarckturm,0.9
W0019,Wald bei Beinum,,Beinum,1.3
W0020,Wald bei Pumpmühle,,Pumpmühle,1.0
W1048,Wald bei Ohlendorf,,Ohlendorf,0.4
W1049,Wald bei Nienrode,,Nienrode,0.6
W0021,Wald bei Klein Flöthe,,Klein Flöthe,1.9
W0022,Wald bei Heiningen,,Heiningen,1.0
W1050,Wald bei Heiningen,,Heiningen,1.4
W1051,Wald bei Tempelhof,,Tempelhof,0.8
W0010,Wald bei Seinstedt,,Seinstedt,0.5
W1053,Wald bei Seinstedt,,Seinstedt,1.1
W1054,Wald bei Hedeper,,Hedeper,0.8
W1055,Wald bei Wetzleben,,Wetzleben,1.1
W1056,Wald bei Roklum,,Roklum,1.0
W1057,Wald bei Winnigstedt,,Winnigstedt,0.8
W0011,Wald bei Gevensleben,,Gevensleben,3.0
W1059,Wald bei Gevensleben,,Gevensleben,1.8
W1060,Wald bei Beierstedt,,Beierstedt,1.8
W1061,Wald bei Jerxheim Bahnhof,,Jerxheim Bahnhof,0.9
W1062,Wald bei Jerxheim Bahnhof,,Jerxheim Bahnhof,1.9
W1063,Wald bei Söllingen,,Söllingen,3.7
W1064,Wald bei Wackersleben,,Wackersleben,3.3
W1065,Wald bei Wackersleben,,Wackersleben,1.6
W1066,Wald bei Gunsleben,,Gunsleben,1.0
W1067,Wald bei Hamersleben,,Hamersleben,1.6
W1068,Wald bei Hamersleben,,Hamersleben,0.6
W1069,Wald bei Hamersleben,,Hamersleben,2.5
W1070,Wald bei Ottleben,,Ottleben,3.5
W0024,Wald bei Derneburg,,Derneburg,1.2
W1071,Wald bei Sottrum,,Sottrum,0.1
W0025,Wald bei Binder,,Binder,0.8
W0026,Wald bei Rhene,,Rhene,0.9
W1072,Wald bei Baddeckenstedt,,Baddeckenstedt,0.7
W1073,Wald bei Klein Elbe,,Klein Elbe,0.2
W1575,Wald bei Ziegelei,,Ziegelei,1.4
W0027,Wald bei Steinlah,,Steinlah,1.3
W0028,Wald bei Engerode,,Engerode,0.5
W0029,Wald bei Calbecht,,Calbecht,1.1
W1074,Wald bei Beinum,,Beinum,0.4
W1075,Wald bei Flachstöckheim,,Flachstöckheim,1.0
W1076,Wald bei Windmühle Klein Flöthe,,Windmühle Klein Flöthe,1.0
W0030,Wald bei Klein Flöthe,,Klein Flöthe,2.0
W0031,Wald bei Dorstadt,,Dorstadt,1.8
W0032,Wald bei Dorstadt,,Dorstadt,1.3
W1077,Wald bei Börßum,,Börßum,1.0
W1576,Wald bei Achim,,Achim,1.9
W1078,Wald bei Kalme,,Kalme,0.2
W1079,Wald bei Hedeper-Bahnhof,,Hedeper-Bahnhof,0.7
W1080,Wald bei Wetzleben,,Wetzleben,0.9
W1081,Wald bei Roklum,,Roklum,1.2
W1082,Wald bei Winnigstedt,,Winnigstedt,1.3
W1577,Wald bei Gevensleben,,Gevensleben,1.9
W1083,Wald bei Gevensleben,,Gevensleben,0.2
W1084,Wald bei Beierstedt,,Beierstedt,0.3
W1085,Wald bei Jerxheim Bahnhof,,Jerxheim Bahnhof,1.2
W1086,Wald bei Jerxheim,,Jerxheim,1.2
W1087,Wald bei Söllingen,,Söllingen,1.9
W1088,Wald bei Ohrsleben,,Ohrsleben,1.9
W1089,Wald bei Wackersleben,,Wackersleben,1.4
W1090,Wald bei Wackersleben,,Wackersleben,1.2
W1091,Wald bei Neubau,,Neubau,2.0
W1092,Wald bei Hamersleben,,Hamersleben,1.6
W0033,Wald bei Ottleben,,Ottleben,0.8
W1093,Wald bei Ottleben,,Ottleben,2.1
W1094,Wald bei Derneburg,,Derneburg,0.6
W1095,Wald bei Holle,,Holle,1.4
W1096,Wald bei Holle,,Holle,1.3
W1097,Wald bei Rhene,,Rhene,0.6
W1098,Wald bei Oelber am weißen Wege,,Oelber am weißen Wege,0.4
W1099,Wald bei Groß Elbe,,Groß Elbe,0.7
W1100,Wald bei Gustedt,,Gustedt,0.8
W1101,Wald bei Gustedt,,Gustedt,1.2
W1578,Wald bei Gebhardshagen,,Gebhardshagen,1.4
W1102,Wald bei Calbecht,,Calbecht,0.4
W1103,Wald bei Lobmachtersen,,Lobmachtersen,1.1
W1104,Wald bei Flachstöckheim,,Flachstöckheim,1.0
W1105,Wald bei Groß Flöthe,,Groß Flöthe,1.0
W1106,Wald bei Windmühle Klein Flöthe,,Windmühle Klein Flöthe,1.9
W1107,Wald bei Dorstadt,,Dorstadt,2.4
W1108,Wald bei Dorstadt,,Dorstadt,0.4
W1109,Wald bei Bornum,,Bornum,0.7
W1110,Wald bei Groß Biewende,,Groß Biewende,0.8
W1111,Wald bei Klein Biewende,,Klein Biewende,1.2
W1112,Wald bei Timmern,,Timmern,1.3
W1113,Wald bei Semmenstedt,,Semmenstedt,0.5
W1114,Wald bei Uehrde,,Uehrde,2.0
W1115,Wald bei Uehrde,,Uehrde,0.5
W1579,Wald bei Barnstorf,,Barnstorf,0.9
W1116,Wald bei Barnstorf,,Barnstorf,1.2
W1117,Wald bei Watenstedt,,Watenstedt,1.3
W1580,Wald bei Ingeleben,,Ingeleben,1.4
W1118,Wald bei Dobbeln,,Dobbeln,1.0
W1581,Wald bei Söllingen,,Söllingen,1.2
W1119,Wald bei Ohrsleben,,Ohrsleben,1.2
W1120,Wald bei Ohrsleben,,Ohrsleben,1.0
W1121,Wald bei Neubau,,Neubau,1.0
W1122,Wald bei Neubau,,Neubau,1.1
W1123,Wald bei Ausleben,,Ausleben,1.7
W1124,Wald bei Warsleben,,Warsleben,0.4
W1125,Wald bei Warsleben,,Warsleben,2.1
W0034,Wald bei Astenbeck,,Astenbeck,0.5
W0035,Wald bei Grasdorf,,Grasdorf,0.5
W1126,Wald bei Grasdorf,,Grasdorf,0.9
W0036,Wald bei Oelber am weißen Wege,,Oelber am weißen Wege,1.0
W0037,Wald bei Oelber am weißen Wege,,Oelber am weißen Wege,1.5
W0038,Wald bei Altenhagen,,Altenhagen,1.5
W0039,Wald bei Gustedt,,Gustedt,1.1
W0040,Wald bei Gebhardshagen,,Gebhardshagen,1.4
W0041,Wald bei Gebhardshagen,,Gebhardshagen,0.8
W1127,Wald bei Heerte,,Heerte,1.4
W1128,Wald bei Barum,,Barum,1.2
W1129,Wald bei Cramme,,Cramme,0.4
W0042,Wald bei Groß Flöthe,,Groß Flöthe,2.2
W0043,Wald bei Windmühle Klein Flöthe,,Windmühle Klein Flöthe,3.3
W0044,Wald bei Dorstadt,,Dorstadt,1.6
W1130,Wald bei Ohrum,,Ohrum,0.7
W1131,Wald bei Kissenbrück,,Kissenbrück,0.3
W1132,Wald bei Sottmar,,Sottmar,1.3
W1582,Wald bei Klein Biewende,,Klein Biewende,1.4
W1133,Wald bei Remlingen,,Remlingen,0.2
W1134,Wald bei Klein Vahlberg,,Klein Vahlberg,1.4
W1135,Wald bei Berklingen,,Berklingen,1.0
W1136,Wald bei Watzum,,Watzum,1.1
W1137,Wald bei Watzum,,Watzum,1.0
W1138,Wald bei Warle,,Warle,0.9
W1139,Wald bei Klein Dahlum,,Klein Dahlum,1.3
W1140,Wald bei Ingeleben,,Ingeleben,1.1
W1141,Wald bei ehem. Bahnhof Twieflingen,,ehem. Bahnhof Twieflingen,1.0
W1142,Wald bei ehem. Bahnhof Hoiersdorf,,ehem. Bahnhof Hoiersdorf,1.2
W1143,Wald bei Hoiersdorf,,Hoiersdorf,2.4
W1144,Wald bei Hötensleben,,Hötensleben,1.5
W1145,Wald bei Glashütte,,Glashütte,1.1
W1146,Wald bei Glashütte,,Glashütte,1.0
W1147,Wald bei Barneberg,,Barneberg,1.2
W1148,Wald bei Üplingen,,Üplingen,1.3
W1149,Wald bei Üplingen,,Üplingen,0.9
W0046,Wald bei Astenbeck,,Astenbeck,1.9
W0047,Wald bei Grasdorf,,Grasdorf,1.6
W0048,Wald bei Luttrum,,Luttrum,0.6
W0049,Wald bei Westerlinde,,Westerlinde,0.4
W0050,Wald bei Osterlinde,,Osterlinde,0.7
W0051,Wald bei Lichtenberg,,Lichtenberg,1.1
W0052,Wald bei Lichtenberg,,Lichtenberg,1.3
W0053,Wald bei Salder,,Salder,1.6
W1150,Wald bei Salder,,Salder,1.3
W0054,Wald bei Heerte,,Heerte,0.6
W1151,Wald bei Barum,,Barum,1.3
W1152,Wald bei Leinde,,Leinde,0.6
W0055,Wald bei Naturfreundehaus Oderwald,,Naturfreundehaus Oderwald,2.0
W0056,Wald bei Naturfreundehaus Oderwald,,Naturfreundehaus Oderwald,1.8
W0057,Wald bei Bungenstedter Turm,,Bungenstedter Turm,1.2
W0058,Wald bei Bahnhaus (Neindorf),,Bahnhaus (Neindorf),0.2
W1153,Wald bei Neindorf,,Neindorf,0.7
W1583,Wald bei Sottmar,,Sottmar,0.7
W0059,Wald bei Remlingen,,Remlingen,1.3
W0060,Wald bei Remlingen,,Remlingen,1.4
W1154,Wald bei Groß Vahlberg,,Groß Vahlberg,0.9
W1155,Wald bei Berklingen,,Berklingen,1.0
W1584,Wald bei Schöppenstedt,,Schöppenstedt,1.6
W1156,Wald bei Schliestedt,,Schliestedt,0.9
W1157,Wald bei Groß Dahlum - Bauernsiedlung,,Groß Dahlum - Bauernsiedlung,0.8
W1158,Wald bei Klein Dahlum,,Klein Dahlum,0.9
W1159,Wald bei ehem. Bahnhof Wobeck,,ehem. Bahnhof Wobeck,0.1
W1160,Wald bei Twieflingen,,Twieflingen,0.7
W1161,Wald bei Hoiersdorf,,Hoiersdorf,0.5
W0061,Wald bei Schöningen,,Schöningen,2.3
W0062,Wald bei Hötensleben,,Hötensleben,0.3
W0063,Wald bei Glashütte,,Glashütte,1.4
W1162,Wald bei Caroline,,Caroline,0.4
W1163,Wald bei Völpke,,Völpke,1.2
W1164,Wald bei Völpke,,Völpke,1.5
W1165,Wald bei Üplingen,,Üplingen,1.7
W0065,Wald bei Wöhle,,Wöhle,0.8
W0066,Wald bei Wöhle,,Wöhle,2.0
W0067,Wald bei Nordassel,,Nordassel,1.2
W0068,Wald bei Hohenassel,,Hohenassel,0.4
W1166,Wald bei Burgdorf,,Burgdorf,1.1
W1167,Wald bei Lesse,,Lesse,1.4
W1168,Wald bei Fredenberg,,Fredenberg,0.7
W1169,Wald bei Lebenstedt,,Lebenstedt,0.7
W0069,Wald bei Salzgitter,,Salzgitter,1.2
W0084,Wald bei Hallendorf,,Hallendorf,1.3
W0085,Wald bei Watenstedt,,Watenstedt,1.6
W1170,Wald bei Immendorf,,Immendorf,0.4
W0070,Wald bei Naturfreundehaus Oderwald,,Naturfreundehaus Oderwald,1.3
W0071,Wald bei Naturfreundehaus Oderwald,,Naturfreundehaus Oderwald,0.9
W0072,Wald bei Halchter,,Halchter,0.4
W0073,Wald bei Klein Denkte,,Klein Denkte,1.0
W1171,Wald bei Klein Denkte,,Klein Denkte,0.7
W0074,Wald bei Wittmar,,Wittmar,1.3
W0075,Wald bei Mönchevahlberg,,Mönchevahlberg,0.8
W0076,Wald bei Groß Vahlberg,,Groß Vahlberg,0.5
W0077,Wald bei Groß Vahlberg,,Groß Vahlberg,1.6
W1172,Wald bei Kuckucksmühle,,Kuckucksmühle,0.5
W1173,Wald bei Twelkenmühle,,Twelkenmühle,0.7
W1174,Wald bei Küblingen,,Küblingen,0.7
W0090,Wald bei Watzumer Häuschen,,Watzumer Häuschen,1.2
W0078,Wald bei Groß Dahlum,,Groß Dahlum,1.2
W0079,Wald bei Wobeck,,Wobeck,0.9
W0080,Wald bei Twieflingen,,Twieflingen,1.7
W0081,Wald bei Schöningen,,Schöningen,0.7
W0095,Wald bei Esbeck,,Esbeck,1.7
W0096,Wald bei Büddenstedt,,Büddenstedt,1.5
W0082,Wald bei Offleben,,Offleben,0.4
W1175,Wald bei Hohnsleben,,Hohnsleben,1.4
W0098,Wald bei Sommersdorf,,Sommersdorf,1.8
W1176,Wald bei Badeleben,,Badeleben,0.5
W1177,Wald bei Badeleben,,Badeleben,1.7
W1585,Wald bei Dingelbe,,Dingelbe,1.5
W1178,Wald bei Helmersen,,Helmersen,0.1
W1179,Wald bei Nettlingen,,Nettlingen,1.2
W0099,Wald bei Berel,,Berel,1.3
W1180,Wald bei Berel,,Berel,1.1
W1181,Wald bei Lesse,,Lesse,0.7
W1182,Wald bei Reppner,,Reppner,1.3
W1183,Wald bei Reppner,,Reppner,1.1
W0100,Wald bei Engelnstedt,,Engelnstedt,1.1
W1184,Wald bei Hallendorf,,Hallendorf,1.5
W0101,Wald bei Beddingen,,Beddingen,0.8
W0102,Wald bei Hoheweg,,Hoheweg,1.5
W0103,Wald bei Hoheweg,,Hoheweg,1.2
W1185,Wald bei Fümmelse-Ziegelei,,Fümmelse-Ziegelei,0.3
W0104,Wald bei Kurzes Holz,,Kurzes Holz,0.7
W1186,Wald bei Juliusstadt,,Juliusstadt,0.8
W1187,Wald bei Ahlum,,Ahlum,1.1
W1188,Wald bei Ahlum,,Ahlum,1.4
W1189,Wald bei Dettum,,Dettum,1.4
W1586,Wald bei Dettum,,Dettum,0.9
W1190,Wald bei Eilum,,Eilum,1.4
W1587,Wald bei Eilum,,Eilum,0.9
W0105,Wald bei Kneitlingen,,Kneitlingen,1.2
W0106,Wald bei Watzumer Häuschen,,Watzumer Häuschen,1.6
W0107,Wald bei Brunsleberfeld,,Brunsleberfeld,0.7
W0108,Wald bei Brunsleberfeld,,Brunsleberfeld,1.8
W0109,Wald bei Elmgarten,,Elmgarten,1.5
W0110,Wald bei Elmgarten,,Elmgarten,0.6
W0111,Wald bei Kißleberfeld,,Kißleberfeld,0.7
W0112,Wald bei Büddenstedt,,Büddenstedt,2.3
W0113,Wald bei Büddenstedt,,Büddenstedt,0.6
W0114,Wald bei Harbke,,Harbke,1.3
W1191,Wald bei Hohnsleben,,Hohnsleben,0.7
W0115,Wald bei Sommerschenburg,,Sommerschenburg,0.2
W1192,Wald bei Sommerschenburg,,Sommerschenburg,1.3
W1193,Wald bei Zechenhaus,,Zechenhaus,0.4
W0116,Wald bei Schellerten,,Schellerten,1.1
W1194,Wald bei Dingelbe,,Dingelbe,1.5
W1588,Wald bei Bettrum,,Bettrum,0.8
W1195,Wald bei Groß Himstedt,,Groß Himstedt,0.2
W1196,Wald bei Söhlde,,Söhlde,0.4
W1197,Wald bei Barbecke,,Barbecke,1.6
W0117,Wald bei Lengede,,Lengede,1.3
W0118,Wald bei Broistedt,,Broistedt,1.0
W1198,Wald bei Broistedt,,Broistedt,1.3
W1199,Wald bei Bleckenstedt,,Bleckenstedt,2.0
W1200,Wald bei Sauingen,,Sauingen,0.5
W1201,Wald bei Beddingen,,Beddingen,1.1
W1202,Wald bei Thiede,,Thiede,1.0
W1203,Wald bei Thiede,,Thiede,1.0
W0119,Wald bei Schwedenschanze,,Schwedenschanze,1.8
W1204,Wald bei Kurzes Holz,,Kurzes Holz,1.1
W1205,Wald bei Schlickerberg,,Schlickerberg,0.4
W0120,Wald bei Apelnstedt,,Apelnstedt,0.8
W1206,Wald bei Volzum,,Volzum,1.4
W0121,Wald bei Hachum,,Hachum,0.9
W0122,Wald bei Obstbauernsiedlung,,Obstbauernsiedlung,0.3
W0123,Wald bei Weidehof,,Weidehof,1.5
W0124,Wald bei Groß Rode,,Groß Rode,0.2
W0125,Wald bei Tetzelstein,,Tetzelstein,1.3
W0126,Wald bei Brunsleberfeld,,Brunsleberfeld,1.4
W0127,Wald bei Räbke,,Räbke,0.8
W1589,Wald bei Räbke,,Räbke,1.3
W0128,Wald bei Wolsdorf,,Wolsdorf,0.9
W0129,Wald bei Wolsdorf,,Wolsdorf,1.1
W1590,Wald bei Kißleberfeld,,Kißleberfeld,2.0
W1207,Wald bei Büddenstedt,,Büddenstedt,1.9
W0130,Wald bei Harbke,,Harbke,0.7
W0131,Wald bei Harbke,,Harbke,1.9
W0132,Wald bei Marienborn,,Marienborn,1.1
W1208,Wald bei Sommerschenburg,,Sommerschenburg,1.6
W1209,Wald bei Zechenhaus,,Zechenhaus,1.6
W1210,Wald bei Garmissen,,Garmissen,0.4
W1211,Wald bei Feldbergen,,Feldbergen,0.3
W1212,Wald bei Hoheneggelsen,,Hoheneggelsen,1.0
W1591,Wald bei Hoheneggelsen,,Hoheneggelsen,1.6
W1213,Wald bei Söhlde,,Söhlde,1.6
W1214,Wald bei Woltwiesche,,Woltwiesche,1.1
W1215,Wald bei Woltwiesche,,Woltwiesche,1.0
W1216,Wald bei Lengede,,Lengede,0.8
W1217,Wald bei Vallstedt,,Vallstedt,1.7
W1218,Wald bei Alvesse,,Alvesse,1.4
W1219,Wald bei Üfingen,,Üfingen,0.3
W1220,Wald bei Übergabebahnhof Beddingen,,Übergabebahnhof Beddingen,1.4
W1221,Wald bei Geitelde,,Geitelde,0.8
W1222,Wald bei Thiedebach,,Thiedebach,0.4
W1223,Wald bei Stöckheim,,Stöckheim,1.2
W1224,Wald bei Salzdahlum,,Salzdahlum,1.9
W1225,Wald bei Salzdahlum,,Salzdahlum,0.7
W1226,Wald bei Mühle,,Mühle,0.4
W1227,Wald bei Neuhof,,Neuhof,0.8
W1228,Wald bei Kupfermühle,,Kupfermühle,0.6
W1229,Wald bei Erkerode,,Erkerode,0.2
W1592,Wald bei Weidehof,,Weidehof,1.4
W1230,Wald bei Weidehof,,Weidehof,0.8
W1593,Wald bei Tetzelstein,,Tetzelstein,0.8
W1594,Wald bei Langeleben,,Langeleben,1.1
W1595,Wald bei Lelm,,Lelm,1.9
W1231,Wald bei Räbke,,Räbke,0.8
W1232,Wald bei Frellstedt,,Frellstedt,0.2
W1233,Wald bei Am Tekenberge,,Am Tekenberge,0.2
W1234,Wald bei Alte Försterei,,Alte Försterei,1.9
W1235,Wald bei Helmstedt,,Helmstedt,2.8
W1236,Wald bei Harbke,,Harbke,2.1
W1237,Wald bei Harbke Autobahn,,Harbke Autobahn,1.5
W1238,Wald bei Marienborn,,Marienborn,1.8
W1239,Wald bei Marienborn,,Marienborn,0.4
W1240,Wald bei Alleringersleben,,Alleringersleben,1.4
W1596,Wald bei Oedelum,,Oedelum,1.0
W1241,Wald bei Mölme,,Mölme,1.2
W1597,Wald bei Mölme,,Mölme,1.0
W1242,Wald bei Steinbrück,,Steinbrück,1.1
W1243,Wald bei Groß Lafferde,,Groß Lafferde,0.9
W1244,Wald bei Groß Lafferde,,Groß Lafferde,1.4
W1245,Wald bei Klein Lafferde,,Klein Lafferde,0.3
W0133,Wald bei Bodenstedt,,Bodenstedt,1.8
W1246,Wald bei Vallstedt,,Vallstedt,1.0
W1247,Wald bei Alvesse,,Alvesse,0.7
W1248,Wald bei Groß Gleidingen,,Groß Gleidingen,1.7
W1249,Wald bei Übergabebahnhof Beddingen,,Übergabebahnhof Beddingen,0.9
W1250,Wald bei Stiddien,,Stiddien,1.1
W1251,Wald bei Rüningen,,Rüningen,0.2
W0134,Wald bei Stöckheim,,Stöckheim,1.3
W0135,Wald bei Mascherode,,Mascherode,1.4
W0136,Wald bei Zuckerfabrik / ehem. Bahnhof Salzdahlum,,Zuckerfabrik / ehem. Bahnhof Salzdahlum,1.3
W1252,Wald bei Hötzum,,Hötzum,0.2
W1253,Wald bei Sickte,,Sickte,0.8
W1254,Wald bei Klein Veltheim,,Klein Veltheim,0.5
W0137,Wald bei Erkerode,,Erkerode,1.2
W0138,Wald bei Weidehof,,Weidehof,0.6
W0139,Wald bei Weidehof,,Weidehof,1.7
W0140,Wald bei Langeleben,,Langeleben,0.4
W0141,Wald bei Lelm,,Lelm,1.5
W1598,Wald bei Lelm,,Lelm,0.2
W0142,Wald bei Frellstedt,,Frellstedt,1.5
W0143,Wald bei Rote Mühle,,Rote Mühle,0.2
W0144,Wald bei Alte Försterei,,Alte Försterei,1.2
W0145,Wald bei Helmstedt,,Helmstedt,2.4
W0146,Wald bei Helmstedt,,Helmstedt,1.8
W0147,Wald bei Harbke Autobahn,,Harbke Autobahn,1.8
