id,lat,lon
W0013,52.068,10.1295
W0014,52.068,10.1591
W0015,52.068,10.1886
W0016,52.068,10.2182
W0005,52.05,10.2477
W1046,52.05901,10.2626
W1047,52.05901,10.29217
W0017,52.068,10.3363
W0018,52.068,10.3658
W0019,52.068,10.3954
W0020,52.068,10.4249
W1048,52.05901,10.43999
W1049,52.05901,10.46955
W0021,52.068,10.5135
W0022,52.068,10.5431
W1050,52.05901,10.55825
W1051,52.05901,10.58781
W0010,52.05,10.6317
W1053,52.05901,10.64694
W1054,52.05901,10.6765
W1055,52.05901,10.70607
W1056,52.05901,10.73563
W1057,52.05901,10.76519
W0011,52.05,10.8089
W1059,52.05901,10.82432
W1060,52.05901,10.85389
W1061,52.05901,10.88345
W1062,52.05901,10.91302
W1063,52.05901,10.94258
W1064,52.05901,10.97214
W1065,52.05901,11.00171
W1066,52.05901,11.03127
W1067,52.05901,11.06084
W1068,52.05901,11.0904
W1069,52.05901,11.11997
W1070,52.05901,11.14953
W0024,52.086,10.1295
W1071,52.07703,10.14435
W0025,52.086,10.1886
W0026,52.086,10.2182
W1072,52.07703,10.23304
W1073,52.07703,10.2626
W1575,52.07703,10.29217
W0027,52.086,10.3363
W0028,52.086,10.3658
W0029,52.086,10.3954
W1074,52.07703,10.41042
W1075,52.07703,10.43999
W1076,52.07703,10.46955
W0030,52.086,10.5135
W0031,52.086,10.5431
W0032,52.086,10.5726
W1077,52.07703,10.58781
W1576,52.07703,10.61737
W1078,52.07703,10.64694
W1079,52.07703,10.6765
W1080,52.07703,10.70607
W1081,52.07703,10.73563
W1082,52.07703,10.76519
W1577,52.07703,10.79476
W1083,52.07703,10.82432
W1084,52.07703,10.85389
W1085,52.07703,10.88345
W1086,52.07703,10.91302
W1087,52.07703,10.94258
W1088,52.07703,10.97214
W1089,52.07703,11.00171
W1090,52.07703,11.03127
W1091,52.07703,11.06084
W1092,52.07703,11.0904
W0033,52.086,11.1338
W1093,52.07703,11.14953
W1094,52.09505,10.11478
W1095,52.09505,10.14435
W1096,52.09505,10.17391
W1097,52.09505,10.20347
W1098,52.09505,10.23304
W1099,52.09505,10.2626
W1100,52.09505,10.29217
W1101,52.09505,10.32173
W1578,52.09505,10.3513
W1102,52.09505,10.38086
W1103,52.09505,10.41042
W1104,52.09505,10.43999
W1105,52.09505,10.46955
W1106,52.09505,10.49912
W1107,52.09505,10.52868
W1108,52.09505,10.55825
W1109,52.09505,10.58781
W1110,52.09505,10.61737
W1111,52.09505,10.64694
W1112,52.09505,10.6765
W1113,52.09505,10.70607
W1114,52.09505,10.73563
W1115,52.09505,10.76519
W1579,52.09505,10.79476
W1116,52.09505,10.82432
W1117,52.09505,10.85389
W1580,52.09505,10.88345
W1118,52.09505,10.91302
W1581,52.09505,10.94258
W1119,52.09505,10.97214
W1120,52.09505,11.00171
W1121,52.09505,11.03127
W1122,52.09505,11.06084
W1123,52.09505,11.0904
W1124,52.09505,11.11997
W1125,52.09505,11.14953
W0034,52.1041,10.1295
W0035,52.1041,10.1591
W1126,52.11306,10.17391
W0036,52.1041,10.2182
W0037,52.1041,10.2477
W0038,52.1041,10.2772
W0039,52.1041,10.3068
W0040,52.1041,10.3363
W0041,52.1041,10.3658
W1127,52.11306,10.38086
W1128,52.11306,10.41042
W1129,52.11306,10.43999
W0042,52.1041,10.484
W0043,52.1041,10.5135
W0044,52.1041,10.5431
W1130,52.11306,10.55825
W1131,52.11306,10.58781
W1132,52.11306,10.61737
W1582,52.11306,10.64694
W1133,52.11306,10.6765
W1134,52.11306,10.70607
W1135,52.11306,10.73563
W1136,52.11306,10.76519
W1137,52.11306,10.79476
W1138,52.11306,10.82432
W1139,52.11306,10.85389
W1140,52.11306,10.88345
W1141,52.11306,10.91302
W1142,52.11306,10.94258
W1143,52.11306,10.97214
W1144,52.11306,11.00171
W1145,52.11306,11.03127
W1146,52.11306,11.06084
W1147,52.11306,11.0904
W1148,52.11306,11.11997
W1149,52.11306,11.14953
W0046,52.1221,10.1295
W0047,52.1221,10.1591
W0048,52.1221,10.1886
W0049,52.1221,10.2182
W0050,52.1221,10.2477
W0051,52.1221,10.2772
W0052,52.1221,10.3068
W0053,52.1221,10.3363
W1150,52.13108,10.3513
W0054,52.1221,10.3954
W1151,52.13108,10.41042
W1152,52.13108,10.43999
W0055,52.1221,10.484
W0056,52.1221,10.5135
W0057,52.1221,10.5431
W0058,52.1221,10.5726
W1153,52.13108,10.58781
W1583,52.13108,10.61737
W0059,52.1221,10.6612
W0060,52.1221,10.6908
W1154,52.13108,10.70607
W1155,52.13108,10.73563
W1584,52.13108,10.76519
W1156,52.13108,10.79476
W1157,52.13108,10.82432
W1158,52.13108,10.85389
W1159,52.13108,10.88345
W1160,52.13108,10.91302
W1161,52.13108,10.94258
W0061,52.1221,10.9861
W0062,52.1221,11.0157
W0063,52.1221,11.0452
W1162,52.13108,11.06084
W1163,52.13108,11.0904
W1164,52.13108,11.11997
W1165,52.13108,11.14953
W0065,52.1401,10.1295
W0066,52.1401,10.1591
W0067,52.1401,10.1886
W0068,52.1401,10.2182
W1166,52.1491,10.23304
W1167,52.1491,10.2626
W1168,52.1491,10.29217
W1169,52.1491,10.32173
W0069,52.1401,10.3658
W0084,52.1581,10.3954
W0085,52.1581,10.4249
W1170,52.1491,10.43999
W0070,52.1401,10.484
W0071,52.1401,10.5135
W0072,52.1401,10.5431
W0073,52.1401,10.5726
W1171,52.1491,10.58781
W0074,52.1401,10.6317
W0075,52.1401,10.6612
W0076,52.1401,10.6908
W0077,52.1401,10.7203
W1172,52.1491,10.73563
W1173,52.1491,10.76519
W1174,52.1491,10.79476
W0090,52.1581,10.8384
W0078,52.1401,10.868
W0079,52.1401,10.8975
W0080,52.1401,10.9271
W0081,52.1401,10.9566
W0095,52.1581,10.9861
W0096,52.1581,11.0157
W0082,52.1401,11.0452
W1175,52.1491,11.06084
W0098,52.1581,11.1043
W1176,52.1491,11.11997
W1177,52.1491,11.14953
W1585,52.16712,10.11478
W1178,52.16712,10.14435
W1179,52.16712,10.17391
W0099,52.1761,10.2182
W1180,52.16712,10.23304
W1181,52.16712,10.2626
W1182,52.16712,10.29217
W1183,52.16712,10.32173
W0100,52.1761,10.3658
W1184,52.16712,10.38086
W0101,52.1761,10.4249
W0102,52.1761,10.4545
W0103,52.1761,10.484
W1185,52.16712,10.49912
W0104,52.1761,10.5431
W1186,52.16712,10.55825
W1187,52.16712,10.58781
W1188,52.16712,10.61737
W1189,52.16712,10.64694
W1586,52.16712,10.6765
W1190,52.16712,10.70607
W1587,52.16712,10.73563
W0105,52.1761,10.7794
W0106,52.1761,10.8089
W0107,52.1761,10.8384
W0108,52.1761,10.868
W0109,52.1761,10.8975
W0110,52.1761,10.9271
W0111,52.1761,10.9566
W0112,52.1761,10.9861
W0113,52.1761,11.0157
W0114,52.1761,11.0452
W1191,52.16712,11.06084
W0115,52.1761,11.1043
W1192,52.16712,11.11997
W1193,52.16712,11.14953
W0116,52.1941,10.1
W1194,52.18514,10.14435
W1588,52.18514,10.17391
W1195,52.18514,10.20347
W1196,52.18514,10.23304
W1197,52.18514,10.2626
W0117,52.1941,10.3068
W0118,52.1941,10.3363
W1198,52.18514,10.3513
W1199,52.18514,10.38086
W1200,52.18514,10.41042
W1201,52.18514,10.43999
W1202,52.18514,10.46955
W1203,52.18514,10.49912
W0119,52.1941,10.5431
W1204,52.18514,10.55825
W1205,52.18514,10.58781
W0120,52.1941,10.6317
W1206,52.18514,10.64694
W0121,52.1941,10.6908
W0122,52.1941,10.7203
W0123,52.1941,10.7498
W0124,52.1941,10.7794
W0125,52.1941,10.8089
W0126,52.1941,10.8384
W0127,52.1941,10.868
W1589,52.18514,10.88345
W0128,52.1941,10.9271
W0129,52.1941,10.9566
W1590,52.18514,10.97214
W1207,52.18514,11.00171
W0130,52.1941,11.0452
W0131,52.1941,11.0747
W0132,52.1941,11.1043
W1208,52.18514,11.11997
W1209,52.18514,11.14953
W1210,52.20315,10.11478
W1211,52.20315,10.14435
W1212,52.20315,10.17391
W1591,52.20315,10.20347
W1213,52.20315,10.23304
W1214,52.20315,10.2626
W1215,52.20315,10.29217
W1216,52.20315,10.32173
W1217,52.20315,10.3513
W1218,52.20315,10.38086
W1219,52.20315,10.41042
W1220,52.20315,10.43999
W1221,52.20315,10.46955
W1222,52.20315,10.49912
W1223,52.20315,10.52868
W1224,52.20315,10.55825
W1225,52.20315,10.58781
W1226,52.20315,10.61737
W1227,52.20315,10.64694
W1228,52.20315,10.6765
W1229,52.20315,10.70607
W1592,52.20315,10.73563
W1230,52.20315,10.76519
W1593,52.20315,10.79476
W1594,52.20315,10.82432
W1595,52.20315,10.85389
W1231,52.20315,10.88345
W1232,52.20315,10.91302
W1233,52.20315,10.94258
W1234,52.20315,10.97214
W1235,52.20315,11.00171
W1236,52.20315,11.03127
W1237,52.20315,11.06084
W1238,52.20315,11.0904
W1239,52.20315,11.11997
W1240,52.20315,11.14953
W1596,52.22117,10.11478
W1241,52.22117,10.14435
W1597,52.22117,10.17391
W1242,52.22117,10.20347
W1243,52.22117,10.23304
W1244,52.22117,10.2626
W1245,52.22117,10.29217
W0133,52.2122,10.3363
W1246,52.22117,10.3513
W1247,52.22117,10.38086
W1248,52.22117,10.41042
W1249,52.22117,10.43999
W1250,52.22117,10.46955
W1251,52.22117,10.49912
W0134,52.2122,10.5431
W0135,52.2122,10.5726
W0136,52.2122,10.6021
W1252,52.22117,10.61737
W1253,52.22117,10.64694
W1254,52.22117,10.6765
W0137,52.2122,10.7203
W0138,52.2122,10.7498
W0139,52.2122,10.7794
W0140,52.2122,10.8089
W0141,52.2122,10.8384
W1598,52.22117,10.85389
W0142,52.2122,10.8975
W0143,52.2122,10.9271
W0144,52.2122,10.9566
W0145,52.2122,10.9861
W0146,52.2122,11.0157
W0147,52.2122,11.0452
W0148,52.2122,11.0747
W0149,52.2122,11.1043
W0150,52.2122,11.1338
W1255,52.22117,11.14953
W1256,52.23919,10.11478
W1257,52.23919,10.14435
W1258,52.23919,10.17391
W1259,52.23919,10.20347
W1260,52.23919,10.23304
W1261,52.23919,10.2626
W1262,52.23919,10.29217
W1263,52.23919,10.32173
W1264,52.23919,10.3513
W1265,52.23919,10.38086
W1266,52.23919,10.41042
W1267,52.23919,10.43999
W1268,52.23919,10.46955
W1269,52.23919,10.49912
W0151,52.2302,10.5431
W0152,52.2302,10.5726
W0153,52.2302,10.6021
W0154,52.2302,10.6317
W0155,52.2302,10.6612
W1270,52.23919,10.6765
W0156,52.2302,10.7203
W0157,52.2302,10.7498
W0158,52.2302,10.7794
W0159,52.2302,10.8089
W0160,52.2302,10.8384
W1271,52.23919,10.85389
W1272,52.23919,10.88345
W1273,52.23919,10.91302
W1274,52.23919,10.94258
W1275,52.23919,10.97214
W0161,52.2302,11.0157
W0162,52.2302,11.0452
W0163,52.2302,11.0747
W0164,52.2302,11.1043
W1276,52.23919,11.11997
W1277,52.23919,11.14953
W1278,52.25721,10.11478
W0165,52.2482,10.1591
